Post Type,Quarter,Content,Hashtags,Accounts Reached,Accounts Engaged,Impressions,Impressions From Home,Impressions From Profile,Impressions From Hashtags,Impressions From Location,Impressions From Reel,Impressions From Explore,Impressions From Other,Interactions,Likes,Saves,Comments,Shares,Profile Visits,External Link Taps,Follows,Business Address Taps
Meeting Recap,Fall 2022,Guest Speaker - Alumni Roundtable,#SportsBusiness #sba #SBAUCI #UCI #UCIrvine #shelbyjacobs #corporatepartnerships #laclippers #kawhi #pg13 #johnwall,668,55,910,317,267,285,0,0,0,39,60,54,1,0,5,16,2,0,0
Meeting Promotion,Fall 2022,"Guest Speaker - Shelby Jacobs, Director of Corporate Partnerships, LA Clippers",#SBA #SBAUCI #UCI #SportsBusiness #shelbyjacobs #corporatepartnerships #laclippers,309,33,471,245,184,20,0,0,0,20,50,29,2,0,19,5,0,0,0
Meeting Recap,Fall 2022,"Guest Speaker - Shelby Jacobs, Director of Corporate Partnerships, LA Clippers",#sbauci #sportsbusiness #uci #ucirvine #shelbyjacobs #corporatepartnerships #laclippers #networking #angelsstadium,371,45,579,364,158,32,0,0,0,18,47,45,0,0,2,18,0,0,0
Event Promotion,Fall 2022,Facility Tour - Angels Stadium,#SBA #SBAUCI #UCI #SportsBusiness #Angels #AngelsStadium #Anaheim #ShoheiOhtani,471,34,647,285,239,91,0,0,0,31,56,34,3,0,19,20,2,0,0
Event Recap,Fall 2022,Facility Tour - Angels Stadium,#SBAUCI #SportsBusiness #LAAngels #angelsstadium #UCI #UCIrvine #onthemound #ShoehiOhtani #MikeTrout #MLBLegends,543,59,784,371,196,128,0,0,0,71,72,58,0,2,12,29,0,0,0
Announcement,Fall 2022,No Meeting,#SBA #SBAUCI #UCI #SportsBusiness,308,21,482,220,249,10,0,0,0,2,21,21,0,0,0,6,1,0,0
Meeting Promotion,Fall 2022,"Guest Speaker - Nathan Benyowitz, Account Executive, LA Clippers",#SBA #SBAUCI #UCI #SportsBusiness #LAClippers #Clippers #AccountExecutive,300,24,451,227,170,41,0,0,0,12,34,24,0,0,10,5,0,0,0
Announcement,Fall 2022,Executive Board Applications,#SBA #SBAUCI #UCI #SportsBusiness #ExecutiveBoard #Internship,413,35,560,313,178,21,0,0,0,47,50,29,4,1,16,40,14,4,0
Meeting Recap,Fall 2022,"Guest Speaker - Nathan Benyowitz, Account Executive, LA Clippers",#SBAUCI #SportsBusiness #UCI #UCIrvine #LAClippers #AccountExecutive #insidesales #LALakers #HallwaySeries #BattleofLA #GameEntertainment,412,36,605,321,161,115,0,0,0,8,36,35,1,0,0,9,0,0,0
Meeting Promotion,Fall 2022,"Guest Speaker - Christopher Cunanan, Associate Director of Game Entertainment, LA Lakers",#SBA #SBAUCI #UCI #SportsBusiness,308,20,443,231,170,22,0,0,0,15,29,19,0,0,10,6,1,0,0
Meeting Recap,Fall 2022,"Guest Speaker - Christopher Cunanan, Associate Director of Game Entertainment, LA Lakers",#SBAUCI #SportsBusiness #GameEntertainment #LALakers #UCI #UCIrvine,453,36,614,292,175,52,0,0,0,82,43,38,1,0,4,14,0,0,0
Meeting Promotion,Fall 2022,"Guest Speaker - Clare Wehan, Group Sales Account Executive, LA Angels",#SBA #SBAUCI #UCI #SportsBusiness,269,14,380,183,177,7,0,0,0,11,17,13,0,0,4,5,0,0,0
Meeting Recap,Fall 2022,"Guest Speaker - Clare Wehan, Group Sales Account Executive, LA Angels",#SBAUCI #sbaucirvine #UCI $UCIrvine #SportsBusiness #sales #group sales #LAAngels #ClareWehan,336,28,485,249,160,47,0,0,0,19,29,28,0,0,1,7,0,0,0
Event Promotion,Fall 2022,Social - Bowling,#SBA #SBAUCI #UCI #SportsBusiness,321,13,466,212,223,14,0,0,0,16,14,12,0,0,2,5,0,0,0
Event Recap,Fall 2022,Social - Bowling,#SBAUCI #SportsBusiness #UCI #UCIrvine #bowling #irvinelanes,406,35,527,259,188,43,0,0,0,25,36,34,0,1,1,11,0,0,0
Announcement,Fall 2022,No Meeting,#SBA #SBAUCI #UCI #SportsBusiness,303,13,460,189,267,3,0,0,0,0,13,13,0,0,0,0,0,0,0
Meeting Promotion,Winter 2023,"Guest Speaker - Megan Bustios, Premium Service Coordinator, LA Galaxy",#SBA #SBAUCI #UCI #SportsBusiness #lagalaxy,524,47,778,378,212,109,0,0,0,78,64,44,1,4,15,46,1,0,0
Announcement,Winter 2023,Quarter Schedule,,433,37,771,394,309,0,0,0,0,68,53,36,2,3,12,52,0,1,0
Announcement,Winter 2023,Executive Board Introduction,#SBAUCI #UCI #UCIrvine #SportsBusiness #Interns,797,62,1308,447,634,42,0,0,0,181,133,60,0,12,61,114,0,0,0
Meeting Recap,Winter 2023,"Guest Speaker - Megan Bustios, Premium Service Coordinator, LA Galaxy",#SBAUCI #SportsBusiness #UCI #LAGalaxy #Soccer #sales,392,29,651,316,268,52,0,0,0,13,33,28,1,0,4,6,0,0,0
